metric,dataset,Random Forest,XGBoost,difference,better_model
accuracy,cv,0.6988333333333333,0.6065833333333334,0.09224999999999994,Random Forest
precision,cv,0.3159241420830825,0.3044645854313528,0.011459556651729708,Random Forest
recall,cv,0.43893768297783353,0.7586783772480133,-0.3197406942701798,XGBoost
f1_score,cv,0.3674076667250131,0.4345430590489879,-0.06713539232397475,XGBoost
roc_auc,cv,0.68379935812302,0.7156012173429874,-0.03180185921996748,XGBoost
mcc,cv,0.1807244736724459,0.2615701603256781,-0.08084568665323219,XGBoost
kappa,cv,0.17661213943460552,0.20983969670966263,-0.03322755727505711,XGBoost
