column,pearson_correlation,pearson_p_value,pearson_significant,spearman_correlation,spearman_p_value,spearman_significant,kendall_correlation,kendall_p_value,kendall_significant,recommended_method
PatientId,-0.0014612998416727344,0.6270999812107299,Not significant,-0.0007114967276132565,0.8130146657544219,Not significant,-0.0005809439491855225,0.813013443624542,Not significant,spearman
AppointmentID,-0.16260212492854034,0.0,Significant,-0.17173873092747285,0.0,Significant,-0.1402247209568451,0.0,Significant,spearman
Age,-0.060318511409173665,1.3151684664414094e-89,Significant,-0.061227846318422915,2.818552079106533e-92,Significant,-0.05031462876812916,4.15219416436096e-92,Significant,spearman
Scholarship,0.029135031314095148,3.388940331733052e-22,Significant,0.02913503131409514,3.388940331734045e-22,Significant,0.029135031314095148,3.4556230870967825e-22,Significant,spearman
Hipertension,-0.03570117734501474,1.6404310625042513e-32,Significant,-0.03570117734501476,1.6404310625035118e-32,Significant,-0.03570117734501476,1.7146979152384417e-32,Significant,spearman
Diabetes,-0.015179943820773785,4.490426322245992e-07,Significant,-0.015179943820773773,4.4904263222462665e-07,Significant,-0.015179943820773773,4.4964566153965596e-07,Significant,spearman
Alcoholism,-0.00019604372362801875,0.9480345241233165,Not significant,-0.00019604372362802742,0.9480345241232866,Not significant,-0.00019604372362802742,0.9480341724936994,Not significant,spearman
Handcap,-0.006076212312885797,0.043376219040087496,Significant,-0.007264661296220771,0.015727224761736498,Significant,-0.007258665454508665,0.01572789310259277,Significant,spearman
SMS_received,0.12643065757314462,0.0,Significant,0.1264306575731445,0.0,Significant,0.12643065757314453,0.0,Significant,spearman
